k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff
3.0,0.39809998869895935,2.511890000000002,50.23780000000004,1.194319815,100.0,1,0.032307881861925125,458.5191955566406,0.5208946439081813
3.0,0.39809998869895935,2.511890000000002,50.23780000000004,1.194319815,100.0,5000,0.15781494975090027,356.67205810546875,1.0
3.0,0.39809998869895935,2.511890000000002,50.23780000000004,1.194319815,100.0,10000,0.13564060628414154,397.5863342285156,0.7131646066313517
3.0,0.39809998869895935,2.511890000000002,50.23780000000004,1.194319815,100.0,15000,0.06402963399887085,412.505126953125,0.6272317049244653
3.0,0.39809998869895935,2.511890000000002,50.23780000000004,1.194319815,100.0,20000,0.04878866299986839,417.8020324707031,0.6146752991956053
3.0,0.39809998869895935,2.511890000000002,50.23780000000004,1.194319815,100.0,25000,0.03708919137716293,419.94488525390625,0.6189915636649009
3.0,0.15850000083446503,0.06310000000000002,1.2620000000000002,47.543581616499985,150.0,1,0.020969845354557037,454.36865234375,0.4887525562372188
3.0,0.15850000083446503,0.06310000000000002,1.2620000000000002,47.543581616499985,150.0,5000,0.22717604041099548,366.8493957519531,1.0
3.0,0.15850000083446503,0.06310000000000002,1.2620000000000002,47.543581616499985,150.0,10000,0.10501477867364883,361.81353759765625,0.8159509202453987
3.0,0.15850000083446503,0.06310000000000002,1.2620000000000002,47.543581616499985,150.0,15000,0.10274983942508698,388.40570068359375,0.7259713701431493
3.0,0.15850000083446503,0.06310000000000002,1.2620000000000002,47.543581616499985,150.0,20000,0.06471917033195496,409.0982360839844,0.6538390035322551
3.0,0.15850000083446503,0.06310000000000002,1.2620000000000002,47.543581616499985,150.0,25000,0.03796417638659477,422.7568664550781,0.6244655140360662
