k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff,F,localization
3.0,0.06,0.06,1.2,50.0,0,1,nan,nan,nan,0.03,nan
3.0,0.5,15.0,300.0,0.2,0,5000,0.25569671392440796,384.10723876953125,1.0,0.08,0.017623269135459193
3.0,0.5,15.0,300.0,0.2,0,10000,0.2470657378435135,415.9508056640625,0.7579515903180636,0.08,0.0528864634328756
3.0,0.5,15.0,300.0,0.2,0,15000,0.1335008293390274,431.3123474121094,0.6787357471494299,0.08,0.08008846826033167
3.0,0.5,15.0,300.0,0.2,0,20000,0.07336566597223282,440.8395690917969,0.6167233446689337,0.08,0.0911310196163587
3.0,0.5,15.0,300.0,0.2,0,25000,0.06893320381641388,447.1790466308594,0.5863172634526905,0.08,0.09166175635539234
3.0,0.5,15.0,300.0,0.2,0,1,nan,nan,nan,0.08,nan
3.0,0.5,0.06,1.2,50.0,0,5000,0.1975523978471756,389.234130859375,1.0,0.08,1.5610617135738967
3.0,0.5,0.06,1.2,50.0,0,10000,0.3227854073047638,406.22491455078125,0.8116644061228444,0.08,3.3501528013509922
3.0,0.5,0.06,1.2,50.0,0,15000,0.17224866151809692,421.8303527832031,0.7147839565975587,0.08,4.835319248947897
3.0,0.5,0.06,1.2,50.0,0,20000,0.11500784754753113,431.6752624511719,0.656268165084286,0.08,5.917751928765793
3.0,0.5,0.06,1.2,50.0,0,25000,0.0877377986907959,439.70947265625,0.610540592908351,0.08,6.6789901139578465
3.0,0.5,0.06,1.2,50.0,0,1,nan,nan,nan,0.08,nan
3.0,0.25,15.0,300.0,0.2,0,5000,0.21862609684467316,369.9403381347656,0.9458967947260741,0.03,0.04302943366092212
3.0,0.25,15.0,300.0,0.2,0,10000,0.28111666440963745,403.8156433105469,0.9254375994544215,0.03,0.17381589152392615
3.0,0.25,15.0,300.0,0.2,0,15000,0.20279359817504883,423.6904296875,0.929529438508752,0.03,0.3035165368456563
3.0,0.25,15.0,300.0,0.2,0,20000,0.1354428082704544,436.130615234375,0.9468060922937032,0.03,0.3607808654862809
